"Name of institution";"Type of institution - 1. Level";"Type of institution - 2. Level";"Type of institution - 3. Level";"Address main location: Street No.";"Address main location: Postal code";"Address main location: City";"Web address";"Count of employees [1]";"Foundation year";Twitter;"Profile text";"Secondary locations";"Keywords [2]"
"Fraunhofer-Institut für Elektronische Mikrosysteme und Festkörper-Technologien EMFT";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Hansastraße 27 D";80686;München;www.emft.fraunhofer.de;150;1974;;"Die Fraunhofer EMFT betreibt angewandte Forschung an Sensoren und Aktoren für Mensch und Umwelt. Das Technologieangebot der Einrichtung reicht von Halbleiterprozessen und MEMS-Technologien über 3D-Integration bis hin zur Folienelektronik. Diese produktionsnahen Mikrotechnologien sind die Basis für die anderen Kompetenzfelder der Fraunhofer EMFT: Innovative Sensorlösungen, sichere Elektronik und Mikrodosierung. Gerade das interdisziplinäre Zusammenspiel dieser Kompetenzen ermöglicht die Entwicklung von zukunftsweisenden Lösungen für unterschiedlichste Anwendungsfelder von Medizintechnik und Lebensmittelüberwachung bis zur intelligenten Produktion.";"Regensburg, Weßling";"Physik, Chemie, Elektrotechnik, Elektronik, Informationstechnik, Nanotechnologie, Medizinische Biotechnologie"
"Fraunhofer-Institut für Elektronische Nanosysteme ENAS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Technologie-Campus 3";09126;Chemnitz;www.enas.fraunhofer.de;217;2008;https://twitter.com/https://x.com/FraunhoferENAS;"Das Fraunhofer ENAS ist Experte und Entwicklungspartner für Smart Systems und deren Integration für unterschiedlichste Anwendungen. Wir bieten innovative Lösungen, begleiten Kundenprojekte entlang der kompletten Wertschöpfungskette der Systeme von der Idee über den Entwurf, die Technologieentwicklung, die Umsetzung anhand bestehender Technologien bis zum getesteten Prototyp und dem Technologietransfer. Wir entwickeln hochpräzise Sensoren, neue Sensor- und Aktorsysteme basierend auf integrierten Nanostrukturen, Beyond-CMOS-Bauelemente, Integrationstechnologien, erweiterte Zuverlässigkeitskonzepte und ergänzen diese durch innovative Ansätze u. a. in der Simulation, bei der Datenanalyse mit Künstlicher Intelligenz oder bei der Sicherheit der Systeme.";"Paderborn, Berlin, Regensburg";"Elektrotechnik, Elektronik, Informationstechnik, Nanotechnologie"
"Fraunhofer-Institut für Energiewirtschaft und Energiesystemtechnik IEE";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Joseph-Beuys-Straße 8";34117;Kassel;www.iee.fraunhofer.de;430;1988;;"Das Fraunhofer IEE in Kassel forscht für die Transformation der Energiesysteme. Es entwickelt Lösungen für technische und wirtschaftliche Herausforderungen, um die Kosten für die Nutzung erneuerbarer Energien weiter zu senken, die Versorgung trotz volatiler Erzeugung zu sichern, die Netzstabilität auf hohem Niveau zu gewährleisten und die Energiewende zu einem wirtschaftlichen Erfolg zu führen. Die Forschungsschwerpunkte liegen in den Bereichen Energiesystemtechnik, Energienetze und Digitalisierung. Unternehmen aus den Branchen Energieversorgung, Netzbetrieb, Energieelektronik, Energieinformatik, Windenergie, Photovoltaik, Bioenergie und Investment bietet das Fraunhofer IEE ein reichhaltiges und anpassbares Portfolio von Leistungen.";;"Mathematik, Informatik und Informationswissenschaften, Physik, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Chemische Verfahrenstechnik, Umwelttechnik, Volks- und Betriebswirtschaftslehre"
"Fraunhofer-Institut für Entwurfstechnik Mechatronik IEM";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Zukunftsmeile 1";33102;Paderborn;www.iem.fraunhofer.de;250;2011;;"Wie sieht das Engineering der Zukunft aus? Zu dieser Frage entwickelt das Fraunhofer IEM in Paderborn überzeugende Lösungen – von der Geschäftsidee über die Umsetzung bis zum Markterfolg. Im Fokus stehen intelligente Produkte, Produktionssysteme, Dienstleistungen und Softwareanwendungen. Wissenschaftlerinnen und Wissenschaftler arbeiten interdisziplinär an neuen Methoden, Werkzeugen sowie Prozessen und setzen innovative Technologien ein, um die Wettbewerbsfähigkeit von Kunden und Partnern langfristig zu sichern.";;"Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Andere Ingenieurwissenschaften und Technologien"
"Fraunhofer-Institut für Experimentelles Software Engineering IESE";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Fraunhofer-Platz 1";67663;Kaiserslautern;www.iese.fraunhofer.de;"ca. 270";1996;https://twitter.com/https://x.com/FraunhoferIESE;"Das Fraunhofer-Institut für Experimentelles Software Engineering IESE in Kaiserslautern ist seit mehr als 25 Jahren eine der führenden Forschungseinrichtungen auf dem Gebiet des Software-, Systems- und Innovation-Engineerings. Mit angewandter Forschung entwickelt es innovative digitale Lösungen und unterstützt Unternehmen bei der Bewältigung von Herausforderungen, insbesonders in den Bereichen Automotive & Mobility, Production, Digital Business, Smart City & Smart Region, Defense, Agriculture & Food und Digital Healthcare. In mehr als 2.000 Kundenprojekten wurde Spitzenforschung in nachhaltige Unternehmenspraktiken transferiert. Aktuelle Fokusthemen sind Digitale Ökosysteme, Dependable AI, Digitaler Zwilling/Virtual Engineering und Systemmodernisierung.";Berlin;"Informatik und Informationswissenschaften"
"Fraunhofer-Institut für Fabrikbetrieb und -automatisierung IFF";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Sandtorstraße 22";39106;Magdeburg;www.iff.fraunhofer.de;190;1992;;"Das Fraunhofer IFF ist Technologiepartner für Unternehmen und die öffentliche Hand. Das Institut erforscht und entwickelt praxisnahe Lösungen in den Forschungsfeldern Intelligente Arbeitssysteme, ressourceneffiziente Produktion und Logistik sowie konvergente Infrastrukturen. Dabei stützen wir uns auf unsere Kompetenzen: Digital Engineering, Robotik, Messen und Prüfen, Energiemanagement und elektrische Netze, die Gestaltung von Produktions- und Logistikprozessen sowie von Assistenz- und Lernsystemen. Das gemeinschaftliche Ziel der Forschenden des Fraunhofer IFF ist, mit ihren Ideen und Lösungen zu einer neuen Nachhaltigkeit im Sinne einer ökologisch ausgeglichenen und ökonomisch erfolgreichen wirtschaftlichen Entwicklung beizutragen.";Magdeburg;"Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Medizintechnik, Umwelttechnik, Andere Ingenieurwissenschaften und Technologien, Land- und Forstwirtschaft, Fischerei"
"Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung IFAM";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Wiener Straße 12";28359;Bremen;www.ifam.fraunhofer.de;"ca. 700";1968;https://twitter.com/https://x.com/fraunhoferifam;"Das Fraunhofer IFAM ist eine der europaweit bedeutendsten unabhängigen Forschungseinrichtungen auf den Gebieten Klebtechnik, Oberflächen, Formgebung und Funktionswerkstoffe. Im Mittelpunkt stehen Forschungs- und Entwicklungsarbeiten mit dem Ziel, zuverlässige und anwendungsorientierte Lösungen zu liefern. Produkte und Technologien adressieren vor allem Branchen mit besonderer Bedeutung für die Zukunftsfähigkeit: Luftfahrt, Mobilität, Energie, Maritime Technologien sowie Medizintechnik und Life Sciences. Das Spektrum des Angebots reicht vom Werkstoff über Formgebung und Fügetechnik bis hin zur Funktionalisierung von Oberflächen, Entwicklung kompletter Bauteile und komplexer Systeme sowie zu Fragestellungen zur digitalen Transformation.";"Wolfsburg, Helgoland, Stade, Dresden, Braunschweig, Cuxhaven";"Physik, Chemie, Biologie, Andere Naturwissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Werkstofftechnik, Medizintechnik, Umwelttechnik, Nanotechnologie, Medizinische Biotechnologie"
"Fraunhofer-Institut für Gießerei-, Composite- und Verarbeitungstechnik IGCV";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Am Technologiezentrum 2";86159;Augsburg;www.igcv.fraunhofer.de;"ca. 300";2016;https://twitter.com/https://x.com/FraunhoferIGCV;"Das Fraunhofer IGCV steht für anwendungsbezogene Forschung mit Schwerpunkt auf effizientem Engineering, vernetzter Produktion und intelligenten Multimateriallösungen. Wir ermöglichen Innovationen auf der Ebene der Fertigungsprozesse und Materialwissenschaften, der Maschinen und Prozessketten sowie der Fabrik und Unternehmensnetzwerke. Unsere rund 120 Wissenschaftlerinnen und Wissenschaftler generieren fachdisziplinübergreifende Lösungen speziell für Gießerei-, Composite- und Verarbeitungstechnik. Damit sind wir an unseren Standorten in Augsburg und im Landkreis München zuverlässiger Partner für KMU, Großunternehmen und Konzerne.";"Augsburg, Garching";"Informatik und Informationswissenschaften, Maschinenbau, Werkstofftechnik, Umwelttechnik"
"Fraunhofer-Institut für Graphische Datenverarbeitung IGD";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Fraunhoferstraße 5";64283;Darmstadt;www.igd.fraunhofer.de;212;1987;;"Das Fraunhofer IGD steht für ausgezeichnete Software-Lösungen im Visual Computing, der bild- und modellbasierten Informatik. Wir verwandeln Informationen in Bilder und Bilder in Informationen. Stichworte sind Mensch-Maschine-Interaktion, VR und AR, KI, interaktive Simulation, Modellierung, 3D-Druck und 3D-Scanning. Wir entwickeln und optimieren Technologien, Verfahren und Produkte bis hin zum Bau von Prototypen und der Herstellung von Kleinserien. Unsere Auftragsforschung und Innovationen decken alle anwendungsrelevanten Kompetenzfelder im Visual Computing ab. Insbesondere für kleine und mittlere Unternehmen ohne eigene FuE-Abteilung liefert das Fraunhofer IGD wichtiges innovatives Know-how rund ums Thema Visualisierung und Simulation.";"Rostock, Kiel";"Informatik und Informationswissenschaften, Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Medizintechnik, Land- und Forstwirtschaft, Fischerei"
"Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik IGB";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Nobelstraße 12";70569;Stuttgart;www.igb.fraunhofer.de;336;1953;https://twitter.com/https://x.com/FraunhoferIGB;"Das Fraunhofer-Institut für Grenzflächen- und Bioverfahrenstechnik IGB entwickelt und optimiert Verfahren, Technologien und Produkte für Gesundheit, nachhaltige Chemie und Umwelt. Dabei setzen wir auf die Kombination biologischer und verfahrenstechnischer Kompetenzen, um Lösungen für eine personalisierte Gesundheitsversorgung, eine nachhaltige Bioökonomie sowie eine ressourceneffiziente Kreislaufwirtschaft zu erarbeiten. Die Forschungsleistungen an den Standorten Stuttgart, Leuna und Straubing reichen von der Machbarkeitsstudie bis zur anwendungsreifen Entwicklung, ergänzt durch ein breites Spektrum an Analyse- und Prüfleistungen. Komplettlösungen vom Labor- bis zum Pilotmaßstab gehören dabei zu den Stärken des Instituts.";"Leuna, Straubing";"Physik, Chemie, Biologie, Chemische Verfahrenstechnik, Umwelttechnik, Umweltbiotechnologie, Industrielle Biotechnologie, Nanotechnologie, Medizinische Biotechnologie, Agrarbiotechnologie"
"Fraunhofer-Institut für Großstrukturen in der Produktionstechnik IGP";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Albert-Einstein-Straße 30";18059;Rostock;www.igp.fraunhofer.de;"ca. 220";2017;https://twitter.com/https://x.com/FraunhoferIgp;"Aufgabenstellungen aus dem Bereich der Produktion und Fertigung von Großstrukturen bilden die Forschungsschwerpunkte des Fraunhofer-Institut Großstrukturen in der Produktionstechnik IGP in Rostock. Auf Basis angewandter Forschung werden im Rahmen von Forschungs- und Entwicklungsprojekten mit Kooperationspartnern Konzepte für Produkt- und Prozessinnovationen für viele Zukunftsbranchen der Wirtschaft wie Schiff- und Stahlbau, Energie- und Umwelttechnik, Schienen- und Nutzfahrzeugbau sowie Maschinen- und Anlagenbau realisiert. Im Rahmen eines Kooperationsvertrages arbeitet das Institut eng mit den Lehrstühlen Fertigungstechnik und Fügetechnik der Fakultät für Maschinenbau und Schiffstechnik an der Universität Rostock zusammen.";;"Bauingenieurwesen, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Werkstofftechnik, Andere Ingenieurwissenschaften und Technologien"
"Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik FHR";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Fraunhoferstraße 20";53343;Wachtberg;www.fhr.fraunhofer.de;390;1957;https://twitter.com/https://x.com/Fraunhofer_FHR;"Das Fraunhofer FHR ist eines der führenden und größten europäischen Forschungsinstitute auf dem Gebiet der Hochfrequenz- und Radartechnik. Für seine Partner entwickelt das Institut maßgeschneiderte Konzepte, Verfahren und Systeme für elektromagnetische Sensorik. Kernthema der Forschungsarbeiten am Fraunhofer FHR sind Sensoren für präziseste Abstands- oder Positionsbestimmung sowie bildgebende Systeme mit Auflösungen bis zu 3,75 mm. Das Anwendungsspektrum dieser Geräte reicht von Systemen für Aufklärung, Überwachung und Schutz bis hin zu echtzeitfähigen Sensoren für Verkehr und Navigation sowie Qualitätssicherung und zerstörungsfreies Prüfen. Dabei zeichnen sich die Systeme des Fraunhofer FHR durch Zuverlässigkeit und Robustheit aus.";"Wachtberg, Aachen, Siegen, Bochum";"Mathematik, Informatik und Informationswissenschaften, Physik, Elektrotechnik, Elektronik, Informationstechnik"
"Fraunhofer-Institut für Holzforschung, Wilhelm-Klauditz-Institut, WKI";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Riedenkamp 3";38108;Braunschweig;www.wki.fraunhofer.de;175;1946;;"Nachhaltigkeit steht seit seiner Gründung im Jahre 1946 im Fokus des Fraunhofer WKI. Der Gründer und Namensgeber Dr. Wilhelm Klauditz suchte nach Lösungen, um das kriegsbedingt knappe Rohholzangebot optimal verwerten zu können sowie Abfall- und Schwachholz technisch nutzbar zu machen. Er gilt als Mitbegründer der modernen Holzwerkstoffindustrie.
Heute betrachten wir am Fraunhofer WKI eine große Bandbreite nachwachsender Rohstoffe sowie deren ganzheitliche Nutzung von der Produktion bis zum Recycling. Ein besonderer Schwerpunkt liegt dabei auf nachhaltigen Leichtbaulösungen. Zu unserem ganzheitlichen Forschungsansatz gehört außerdem die Entwicklung von werkstofflichen Recyclingverfahren, Lebenszyklusanalysen und die Innenraumluftanalytik.";"Hannover, Wolfsburg, Braunschweig";
"Fraunhofer-Institut für Integrierte Schaltungen IIS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Am Wolfsmantel 33";91058;Erlangen;www.iis.fraunhofer.de;1173;1985;https://twitter.com/https://x.com/FraunhoferIIS;"Das Fraunhofer IIS ist eine weltweit führende anwendungsorientierte Forschungseinrichtung für mikroelektronische und informationstechnische Systemlösungen und Dienstleistungen. Unter anderem mit der maßgeblichen Beteiligung an der Entwicklung der Audiocodierverfahren mp3 und MPEG AAC ist es weltweit bekannt geworden. Die Wissenschaftlerinnen und Wissenschaftler betreiben im Bereich Audio und Medientechnologien und in der Kognitiven Sensorik internationale Spitzenforschung.";"Bamberg, Deggendorf, Fürth, Nürnberg, Ilmenau, Dresden, Waischenfeld, Passau, Würzburg, München";"Mathematik, Informatik und Informationswissenschaften, Physik, Elektrotechnik, Elektronik, Informationstechnik, Medizintechnik, Volks- und Betriebswirtschaftslehre"
"Fraunhofer-Institut für Integrierte Systeme und Bauelementetechnologie IISB";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Schottkystraße 10";91058;Erlangen;www.iisb.fraunhofer.de;300;1985;;"Das Fraunhofer IISB in Erlangen ist eine der führenden Forschungseinrichtungen auf dem Gebiet der Leistungselektronik und Halbleitertechnologie in Europa. Das Institut deckt die komplette Wertschöpfungskette für komplexe intelligente Elektroniksysteme ab, vom Grundmaterial bis zum vollständigen System. Die Arbeiten des IISB umspannen eine einzigartige Bandbreite – von der Materialforschung über die Halbleiterprozesstechnik, neuartige Bauelemente und Aufbautechnologien bis hin zur Entwicklung innovativer Gesamtsysteme für die Fahrzeugtechnik, Luftfahrttechnik, die elektrische Energietechnik und Energieinfrastruktur. Ein technologischer Schwerpunkt liegt auf Wide-Bandgap-Halbleitern, insbesondere Siliziumkarbid.";Freiberg;"Informatik und Informationswissenschaften, Physik, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Werkstofftechnik, Nanotechnologie"
"Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Schloss Birlinghoven 1";53757;"Sankt Augustin";www.iais.fraunhofer.de;"ca. 350";2006;https://twitter.com/https://x.com/@FraunhoferIAIS;"Das Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS ist eines der führenden Wissenschaftsinstitute auf den Gebieten Künstliche Intelligenz (KI), Maschinelles Lernen und Big Data. Rund 350 Mitarbeitende unterstützen Unternehmen bei der Optimierung von Produkten, Dienstleistungen und Prozessen sowie bei der Entwicklung neuer digitaler Geschäftsmodelle. Das Fraunhofer IAIS gestaltet die digitale Transformation: mit innovativen KI-Anwendungen für Industrie, Gesundheit und Nachhaltigkeit, mit zukunftsweisenden Technologien wie großen KI-Sprachmodellen oder Quantum Machine Learning, mit Angeboten für die Aus- und Weiterbildung oder für die Prüfung von KI-Anwendungen auf Sicherheit und Vertrauenswürdigkeit.";Dresden;"Mathematik, Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Volks- und Betriebswirtschaftslehre"
"Fraunhofer-Institut für Keramische Technologien und Systeme IKTS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Winterbergstraße 28";01277;Dresden;www.ikts.fraunhofer.de;794;1992;https://twitter.com/https://x.com/FraunhoferIKTS;"Das Fraunhofer IKTS – das größte Keramikforschungsinstitut Europas – betreibt anwendungsorientierte Forschung für Hochleistungskeramik und entwickelt moderne keramische Hochleistungswerkstoffe, industrierelevante Herstellungsverfahren sowie prototypische Bauteile und Systeme in vollständigen Fertigungslinien bis in den Pilotmaßstab. Darüber hinaus umfasst das Forschungsportfolio die zerstörungsfreie Prüfung von Komponenten und Anlagen. Das Institut arbeitet in neun Geschäftsfeldern, um keramische Technologien und Komponenten sowie zerstörungsfreie Prüfverfahren für neue Branchen, Produktideen und Märkte jenseits der klassischen Einsatzgebiete zu demonstrieren und zu qualifizieren.";"Dresden, Hermsdorf, Arnstadt, Freiberg, Rostock, Forchheim";"Physik, Chemie, Geowissenschaften und zugehörige (Umwelt-)Wissenschaften, Biologie, Maschinenbau, Chemische Verfahrenstechnik, Werkstofftechnik, Medizintechnik, Umwelttechnik, Industrielle Biotechnologie, Nanotechnologie, Medizinische Biotechnologie, Land- und Forstwirtschaft, Fischerei"
"Fraunhofer-Institut für Kognitive Systeme IKS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Hansastraße 32";80686;München;www.iks.fraunhofer.de;160;2019;https://twitter.com/https://x.com/FraunhoferIKS;"Safe Intelligence – das ist der Markenkern des Fraunhofer-Instituts für Kognitive Systeme IKS. Vernetzte Kognitive Systeme sind der Innovationstreiber in vielen Anwendungsbereichen, etwa beim autonomen Fahren, bei Medizingeräten oder der intelligenten Automatisierung in der Industrie. Sie sollen dabei stets das Potenzial der Künstlichen Intelligenz voll ausschöpfen und müssen gleichzeitig nachweislich sicher und zuverlässig sein. Daher forscht das Fraunhofer IKS an Künstlicher Intelligenz und Software Engineering. Wir denken Resilienz und Intelligenz zusammen.";;"Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik"
"Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie FKIE";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Fraunhoferstaße 20";53343;Wachtberg;www.fkie.fraunhofer.de;"ca. 500";1963;https://twitter.com/https://x.com/Fraunhofer_FKIE;"Forschung für Verteidigung und Sicherheit
Das Fraunhofer FKIE entwickelt Technologien und Prozesse mit dem Ziel, existenzbedrohende Risiken frühzeitig zu erkennen, zu minimieren und beherrschbar zu machen. Daran arbeiten zehn Forschungsabteilungen, die über unterschiedliche, sich ergänzende Kernkompetenzen in den Feldern Informations- und Kommunikationstechnologien, Cybersicherheit und Ergonomie verfügen. Das Institut ist somit in der Lage, die gesamte Verarbeitungskette von Daten und Informationen abzudecken: vom Gewinn, der Übertragung und Verarbeitung bis hin zu ihrem zuverlässigen Schutz. Seinen Auftrag sieht das Institut hier sowohl im zivilen Sektor als auch bei Führungs- und Aufklärungsprozessen im wehrtechnischen Bereich.";"Bonn, Aachen";"Mathematik, Informatik und Informationswissenschaften, Physik, Andere Naturwissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Andere Ingenieurwissenschaften und Technologien, Psychologie und Kognitionswissenschaft"
"Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut, EMI";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Ernst-Zermelo-Straße 4";79104;Freiburg;www.emi.fraunhofer.de;370;1959;;"Das Fraunhofer-Institut für Kurzzeitdynamik, Ernst-Mach-Institut, EMI, in Freiburg untersucht die Physik schnell ablaufender Prozesse. Das EMI behandelt fach- und werkstoffübergreifend Crash-, Impakt- und Stoßwellenphänomene in Experiment und Simulation. Für die Gesellschaft erwachsen daraus optimierte Systeme in den Bereichen Verteidigung, Sicherheit und Resilienz, Automotive, Raumfahrt, Luftfahrt und Nachhaltigkeit. Die am EMI mit experimentellen, computergestützten und analytischen Methoden erarbeiteten Lösungen zielen auf eine verbesserte Sicherheit und Zuverlässigkeit von Bauteilen und Strukturen unter dynamischen Belastungen ab.";"Kandern, Efringen-Kirchen";"Mathematik, Informatik und Informationswissenschaften, Physik, Bauingenieurwesen, Maschinenbau, Werkstofftechnik"
"Fraunhofer-Institut für Lasertechnik ILT";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Steinbachstraße 15";52074;Aachen;www.ilt.fraunhofer.de;"ca. 500";1985;https://twitter.com/https://x.com/FraunhoferILT;"Mit ca. 500 Mitarbeiterinnen und Mitarbeitern und mehr als 19.500 m² Nettogrundfläche zählt das Fraunhofer-Institut für Lasertechnik ILT weltweit zu den bedeutendsten Auftragsforschungs- und Entwicklungsinstituten im Bereich Laserentwicklung und Laseranwendung. Die Kernkompetenzen umfassen die Entwicklung neuer Laserstrahlquellen und -komponenten, Lasermess- und Prüftechnik sowie Laserfertigungstechnik. Hierzu zählt z. B. das Schneiden, Abtragen, Bohren, Schweißen und Löten sowie das Oberflächenvergüten, die Mikrofertigung und das Additive Manufacturing. Im Bereich der Quantentechnologie entwickelt das Fraunhofer ILT Photonenquellen, photonische Komponenten und Systeme, u. a. für den Einsatz im Quanteninternet und in Quantencomputern.";Aachen;"Physik, Maschinenbau, Werkstofftechnik, Medizintechnik, Nanotechnologie, Andere Ingenieurwissenschaften und Technologien"
"Fraunhofer-Institut für Materialfluss und Logistik IML";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Joseph-von-Fraunhofer-Straße 2/4";44227;Dortmund;www.iml.fraunhofer.de;700;1981;;"Das Fraunhofer IML gilt als erste Adresse in der ganzheitlichen Logistikforschung und ist auf allen Feldern der inner- und außerbetrieblichen Logistik tätig. Neben der Materialflusstechnik, der Geschäftsprozessmodellierung sowie den Bereichen Verkehrssysteme und Ressourcenlogistik liegen aktuelle Forschungsschwerpunkte in den Bereichen Künstliche Intelligenz, Smart Finance und Internet der Dinge. Zudem arbeitet das Fraunhofer IML mit dem Großprojekt Silicon Economy an der Umsetzung einer dezentralen, föderalen und offenen Plattformökonomie in Deutschland und Europa. Auch die Geschäftsführung der Fraunhofer-Allianz Verkehr, in der 23 Fraunhofer-Institute und -Einrichtungen ihre verkehrsrelevanten Kompetenzen bündeln, sitzt in Dortmund.";"Frankfurt am Main, Prien am Chiemsee, Hamburg";"Informatik und Informationswissenschaften, Elektrotechnik, Elektronik, Informationstechnik, Maschinenbau, Andere Ingenieurwissenschaften und Technologien"
"Fraunhofer-Institut für Mikroelektronische Schaltungen und Systeme IMS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Finkenstraße 61";47057;Duisburg;www.ims.fraunhofer.de;250;1985;;"Das Fraunhofer IMS beschäftigt sich mit der Entwicklung von mikroelektronischen Schaltungen und Systemen, Nanotechnologien und Sensoren. In vier Geschäftsfeldern widmet sich das Duisburger Institut der angewandten Forschung, der Vorentwicklung für Produkte und deren Anwendungen in den Bereichen Health, Industry, Mobility und Space and Security. Aufgrund seines Know-hows, des Zugangs zur eigenen Halbleiter-Technologie und der hochwertigen Entwicklungsleistungen ist das Fraunhofer IMS weltweit ein anerkannter Partner für die Industrie. Spezielle Technologien und Entwicklungen wie Biosensoren, SPAD-Photodetektoren und neue Verfahren des Post-Processing gehören zum besonderen Leistungsspektrum des Instituts.";Duisburg;"Elektrotechnik, Elektronik, Informationstechnik, Medizintechnik, Nanotechnologie, Andere Ingenieurwissenschaften und Technologien, Medizinische Biotechnologie"
"Fraunhofer-Institut für Mikrostruktur von Werkstoffen und Systemen IMWS";"Außeruniversitäre Forschungseinrichtungen";Fraunhofer-Gesellschaft;"Fraunhofer Einrichtungen im Inland";"Walter-Hülse-Straße 1";06120;"Halle (Saale)";www.imws.fraunhofer.de;304;;https://twitter.com/https://x.com/Presse_IMWS;"Das Fraunhofer IMWS bietet mikrostrukturbasierte Diagnostik und Technologieentwicklung für innovative Werkstoffe, Bauteile und Systeme. Aufbauend auf den Kernkompetenzen in leistungsfähiger Mikrostrukturanalytik und im mikrostrukturbasierten Materialdesign erforscht das Institut Fragen der Funktionalität und des Einsatzverhaltens sowie der Zuverlässigkeit, Sicherheit und Lebensdauer von Werkstoffen. Für seine Partner in der Industrie und für öffentliche Auftraggeber verfolgt das Fraunhofer IMWS das Ziel, zur beschleunigten Entwicklung neuer Werkstoffe beizutragen, Materialeffizienz und Wirtschaftlichkeit zu steigern sowie Ressourcen zu schonen.";"Soest, Schkopau";Werkstofftechnik
